benchmark,max_path,sum,min_value,most_efficient
05,41.9473,80.0518,41.9473,max_path
113,1.8049,1.1973,1.1973,sum
12,3.1831,2.1639,2.1639,sum
14,2.1402,2.9143,2.1402,max_path
18,131.5790,94.1163,94.1163,sum
22,27.5441,15.7855,15.7855,sum
26,60.8732,23.3669,23.3669,sum
33,138.6110,132.6520,132.6520,sum
35,15.6130,45.8231,15.6130,max_path
45,1.1728,0.9857,0.9857,sum
bin_eventlogadm_vc331203,6.9753,3.5342,3.5342,sum
bin_eventlogadm_vc331205,13.5117,9.4531,9.4531,sum
bin_eventlogadm_vc351368,9.4264,3.6570,3.6570,sum
bin_eventlogadm_vc351388,14.9165,3.9518,3.9518,sum
bin_eventlogadm_vc352367,9.1524,6.7575,6.7575,sum
bin_libsmbsharemodes_vc4818,21.4659,5.6518,5.6518,sum
compose.s2._bit8_na6_nr3_paired,7.9980,7.3926,7.3926,sum
compose.s2._bit8_na6_nr4_paired,4.3047,2.7595,2.7595,sum
mobiledevice_bit8_na6_nr3_paired,7.3029,3.8155,3.8155,sum
src_wget_vc18516,1.4414,6.2522,1.4414,max_path
string1x8.10._bit8_na6_nr3_paired,263.7280,119.7770,119.7770,sum
string1x8.2._bit8_na6_nr3_paired,622.3900,163.2110,163.2110,sum
string1x8.3._bit8_na6_nr3_paired,81.4184,88.4847,81.4184,max_path
string1x8.4._bit8_na6_nr3_paired,137.4080,26.1938,26.1938,sum
string1x8.7._bit8_na6_nr3_paired,126.4140,368.1620,126.4140,max_path
