benchmark,input,slot_total_seconds,chain_sum_total_seconds,chain_depth_total_seconds,lowest_value,lowest_column,chain_sum_lower_than_chain_depth
05,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/05.smt2,68.9194,52.6018,71.8534,52.6018,chain_sum_total_seconds,true
113,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/113.smt2,56.7391,55.9482,61.692,55.9482,chain_sum_total_seconds,true
12,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/12.smt2,14.3715,14.1642,15.8372,14.1642,chain_sum_total_seconds,true
14,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/14.smt2,27.7814,29.6346,30.7368,27.7814,slot_total_seconds,true
18,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/18.smt2,688.369,119.318,165.568,119.318,chain_sum_total_seconds,true
22,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/22.smt2,611.305,73.5858,228.741,73.5858,chain_sum_total_seconds,true
26,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/26.smt2,153.948,85.5236,154.891,85.5236,chain_sum_total_seconds,true
33,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/33.smt2,85.247,203.312,49.4203,49.4203,chain_depth_total_seconds,false
35,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/35.smt2,74.5415,103.176,87.7857,74.5415,slot_total_seconds,false
37,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/37.smt2,325.586,397.497,244.293,244.293,chain_depth_total_seconds,false
45,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/45.smt2,19.205,19.6033,20.0072,19.205,slot_total_seconds,true
54,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/54.smt2,232.479,240.529,126.7,126.7,chain_depth_total_seconds,false
bin_eventlogadm_vc331203,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331203.smt2,22.4264,18.1425,15.8252,15.8252,chain_depth_total_seconds,false
bin_eventlogadm_vc331205,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331205.smt2,18.5827,22.7427,15.4371,15.4371,chain_depth_total_seconds,false
bin_eventlogadm_vc331206,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331206.smt2,13.9461,18.3094,12.7772,12.7772,chain_depth_total_seconds,false
bin_eventlogadm_vc351368,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351368.smt2,23.8913,33.2694,38.9875,23.8913,slot_total_seconds,true
bin_eventlogadm_vc351388,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351388.smt2,27.3323,41.0671,53.8979,27.3323,slot_total_seconds,true
bin_eventlogadm_vc352367,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc352367.smt2,25.7263,31.956,42.7863,25.7263,slot_total_seconds,true
bin_libsmbsharemodes_vc4818,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc4818.smt2,36.3929,36.4119,33.3118,33.3118,chain_depth_total_seconds,false
compose.s2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr3_paired.smt2,103.6,63.8131,60.4511,60.4511,chain_depth_total_seconds,false
compose.s2._bit8_na6_nr4_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr4_paired.smt2,105.843,105.758,91.5694,91.5694,chain_depth_total_seconds,false
convert-jpg2gif-query-1180,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1180.smt2,22.3417,29.2021,23.9968,22.3417,slot_total_seconds,false
convert-jpg2gif-query-1190,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1190.smt2,23.1791,27.6166,25.9344,23.1791,slot_total_seconds,false
convert-jpg2gif-query-1347,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1347.smt2,26.5938,31.5053,29.3856,26.5938,slot_total_seconds,false
convert-jpg2gif-query-1365,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1365.smt2,29.9882,34.0351,32.5505,29.9882,slot_total_seconds,false
convert-jpg2gif-query-1402,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1402.smt2,27.2973,32.8359,30.4053,27.2973,slot_total_seconds,false
convert-jpg2gif-query-1424,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1424.smt2,28.3424,33.3013,31.0292,28.3424,slot_total_seconds,false
convert-jpg2gif-query-1462,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1462.smt2,39.5524,45.4534,43.1599,39.5524,slot_total_seconds,false
convert-jpg2gif-query-1463,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/uclid/catchconv/convert-jpg2gif-query-1463.smt2,39.2284,45.2154,43.5124,39.2284,slot_total_seconds,false
innd_innd_vc32481,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32481.smt2,1.25223,2.47098,1.10789,1.10789,chain_depth_total_seconds,false
innd_innd_vc32499,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32499.smt2,1.48245,2.78094,1.42021,1.42021,chain_depth_total_seconds,false
innd_innd_vc32635,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32635.smt2,1.52962,1.34272,1.17225,1.17225,chain_depth_total_seconds,false
innd_innd_vc32662,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32662.smt2,21.636,7.36042,2.57773,2.57773,chain_depth_total_seconds,false
innd_innd_vc32740,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/inn_v2.4.3/innd_innd_vc32740.smt2,2.251,2.71426,3.23299,2.251,slot_total_seconds,true
mobiledevice_bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/MobileDevice/mobiledevice_bit8_na6_nr3_paired.smt2,49.8414,27.757,27.945,27.757,chain_sum_total_seconds,true
src_wget_vc18516,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/spear/wget_v1.10.2/src_wget_vc18516.smt2,3.75268,4.51684,2.14624,2.14624,chain_depth_total_seconds,false
string1x8.10._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.10._bit8_na6_nr3_paired.smt2,682.719,83.0396,130.974,83.0396,chain_sum_total_seconds,true
string1x8.2._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.2._bit8_na6_nr3_paired.smt2,695.335,346.953,287.691,287.691,chain_depth_total_seconds,false
string1x8.3._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.3._bit8_na6_nr3_paired.smt2,135.866,111.726,53.6267,53.6267,chain_depth_total_seconds,false
string1x8.4._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.4._bit8_na6_nr3_paired.smt2,57.4152,98.403,65.7729,57.4152,slot_total_seconds,false
string1x8.6._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.6._bit8_na6_nr3_paired.smt2,90.2787,117.604,51.705,51.705,chain_depth_total_seconds,false
string1x8.7._bit8_na6_nr3_paired,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.7._bit8_na6_nr3_paired.smt2,326.831,199.46,137.732,137.732,chain_depth_total_seconds,false
